periodo,pib_indice,pib_media4,pib_crescimento,c_indice,c_media4,c_crescimento,i_indice,i_media4,i_crescimento,g_indice,g_media4,g_crescimento,x_indice,x_media4,x_crescimento,m_indice,m_media4,m_crescimento,vab_indice,vab_media4,vab_crescimento,agro_indice,agro_media4,agro_crescimento,industria_indice,industria_media4,industria_crescimento,extrativas_indice,extrativas_media4,extrativas_crescimento,transformacao_indice,transformacao_media4,transformacao_crescimento,eletricidade_indice,eletricidade_media4,eletricidade_crescimento,construcao_indice,construcao_media4,construcao_crescimento,servicos_indice,servicos_media4,servicos_crescimento,comercio_indice,comercio_media4,comercio_crescimento,transporte_indice,transporte_media4,transporte_crescimento,informacao_indice,informacao_media4,informacao_crescimento,financeiras_indice,financeiras_media4,financeiras_crescimento,imobiliarias_indice,imobiliarias_media4,imobiliarias_crescimento,outros_servicos_indice,outros_servicos_media4,outros_servicos_crescimento,administracao_indice,administracao_media4,administracao_crescimento,recessao,pib_tendencia,c_tendencia,i_tendencia,g_tendencia,x_tendencia,m_tendencia,vab_tendencia,agro_tendencia,industria_tendencia,extrativas_tendencia,transformacao_tendencia,eletricidade_tendencia,construcao_tendencia,servicos_tendencia,comercio_tendencia,transporte_tendencia,informacao_tendencia,financeiras_tendencia,imobiliarias_tendencia,outros_servicos_tendencia,administracao_tendencia,trimestre,data,pib_crescimento_pct,pib_tendencia_pct,c_crescimento_pct,c_tendencia_pct,i_crescimento_pct,i_tendencia_pct,g_crescimento_pct,g_tendencia_pct,x_crescimento_pct,x_tendencia_pct,m_crescimento_pct,m_tendencia_pct,vab_crescimento_pct,vab_tendencia_pct,agro_crescimento_pct,agro_tendencia_pct,industria_crescimento_pct,industria_tendencia_pct,extrativas_crescimento_pct,extrativas_tendencia_pct,transformacao_crescimento_pct,transformacao_tendencia_pct,eletricidade_crescimento_pct,eletricidade_tendencia_pct,construcao_crescimento_pct,construcao_tendencia_pct,servicos_crescimento_pct,servicos_tendencia_pct,comercio_crescimento_pct,comercio_tendencia_pct,transporte_crescimento_pct,transporte_tendencia_pct,informacao_crescimento_pct,informacao_tendencia_pct,financeiras_crescimento_pct,financeiras_tendencia_pct,imobiliarias_crescimento_pct,imobiliarias_tendencia_pct,outros_servicos_crescimento_pct,outros_servicos_tendencia_pct,administracao_crescimento_pct,administracao_tendencia_pct
1996Q1,"99,41",,,"98,85",,,"96,84",,,"99,15",,,"99,57",,,"91,56",,,"99,79",,,"95,25",,,"101,02",,,"104,21",,,"99,23",,,"101,6",,,"102,58",,,"101,99",,,"98,55",,,"105,84",,,"103,35",,,"103,22",,,"102,11",,,"100,31",,,"102,4",,,False,,,,,,,,,,,,,,,,,,,,,,1T1996,1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996Q2,"100,6",,,"100,9",,,"98,71",,,"100,75",,,"96,69",,,"99,92",,,"100,69",,,"96,59",,,"97,29",,,"103,77",,,"94,2",,,"102,26",,,"101,6",,,"102,26",,,"100,32",,,"104,31",,,"104,82",,,"102,3",,,"102,77",,,"99,8",,,"104,48",,,False,,,,,,,,,,,,,,,,,,,,,,2T1996,1996-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996Q3,"104,31",,,"103,71",,,"102,41",,,"104,25",,,"96,19",,,"107,28",,,"104,4",,,"101,76",,,"106,05",,,"98,63",,,"108,67",,,"103,14",,,"102,41",,,"103,55",,,"102,95",,,"107,57",,,"109,17",,,"103,16",,,"103,73",,,"100,08",,,"105,0",,,False,,,,,,,,,,,,,,,,,,,,,,3T1996,1996-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996Q4,"103,32","101,91",,"109,16","103,155",,"106,78","101,185",,"88,56","98,17750000000001",,"99,17","97,905",,"119,01","104,4425",,"101,9","101,69500000000001",,"125,8","104,85",,"99,59","100,9875",,"103,33","102,485",,"98,21","100,0775",,"105,45","103,1125",,"102,27","102,215",,"101,41","102,3025",,"104,38","101,55",,"103,72","105,36",,"106,5","105,96",,"94,86","100,88499999999999",,"101,24","102,4625",,"99,73","99,98",,"104,36","104,06",,False,,,,,,,,,,,,,,,,,,,,,,4T1996,1996-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997Q1,"104,43","103,165",,"106,64","105,10249999999999",,"107,69","103,8975",,"100,32","98,47",,"105,49","99,38499999999999",,"118,67","111,22",,"103,94","102,7325",,"101,87","106,505",,"104,64","101,89250000000001",,"104,46","102,5475",,"101,69","100,6925",,"107,99","104,71000000000001",,"105,83","103,0275",,"103,91","102,7825",,"104,55","103,05",,"108,81","106,1025",,"108,14","107,1575",,"104,76","101,27",,"103,46","102,8",,"101,15","100,19",,"104,52","104,59",,False,,,,,,,,,,,,,,,,,,,,,,1T1997,1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997Q2,"104,94","104,25",,"106,93","106,61",,"109,2","106,52",,"99,92","98,2625",,"112,26","103,2775",,"123,6","117,14",,"104,15","103,5975",,"100,38","107,45249999999999",,"104,48","103,69",,"106,33","103,18749999999999",,"102,99","102,89",,"107,02","105,89999999999999",,"108,49","104,75",,"104,48","103,3375",,"105,15","104,2575",,"112,01","108,0275",,"110,98","108,69749999999999",,"103,48","101,565",,"104,23","103,16499999999999",,"102,06","100,755",,"103,7","104,39500000000001",,False,,,,,,,,,,,,,,,,,,,,,,2T1997,1997-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997Q3,"106,27","104,74",,"105,9","107,1575",,"111,34","108,7525",,"98,35","96,7875",,"114,47","107,8475",,"124,4","121,42",,"105,42","103,8525",,"103,64","107,9225",,"106,45","103,78999999999999",,"109,63","105,9375",,"103,48","101,5925",,"110,17","107,6575",,"111,67","107,065",,"104,97","103,6925",,"106,64","105,18",,"112,63","109,29249999999999",,"111,97","109,39750000000001",,"104,27","101,8425",,"105,39","103,58",,"102,78","101,43",,"104,06","104,16",,False,,,,,,,,,,,,,,,,,,,,,,3T1997,1997-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997Q4,"107,16","105,7","0,03718967716612709","106,04","106,3775","0,031239397023896","110,61","109,71","0,08425161832287387","99,05","99,41","0,012553792875149572","109,24","110,365","0,12726622746540017","116,96","120,9075","0,15764655193048815","106,39","104,975","0,03225330645557789","112,57","104,615","-0,0022412970910824503","106,07","105,41","0,04379254858274528","109,48","107,475","0,04869005220276135","102,09","102,5625","0,0248307561639729","111,63","109,2025","0,059061704449024255","113,71","109,92500000000001","0,07542924228342218","106,25","104,9025","0,025414823684660748","106,81","105,7875","0,041728212703101786","114,84","112,0725","0,06371013667425984","114,81","111,47500000000001","0,05204794261985679","104,46","104,24249999999999","0,03328046785944405","107,0","105,02000000000001","0,0249603513480543","105,02","102,7525","0,027730546109221876","105,0","104,32","0,0024985585239283292",False,"0,02985795720407087","0,0263297984005742","0,024015492254659994","0,026886824112959087","0,0843283597950309","0,042114146258433446","0,02967406988425632","0,035637372117403185","0,020638786563023225","0,050974730711531954","0,019185954728766316","0,024708670449106247","0,020466730914323154","0,03263706013575177","0,024484159473655894","0,027147823715303863","0,07420140285175023","0,04010070585382093","0,03998341508985714","0,022084235173216855","0,030154613162106665",4T1997,1997-10-01,"3,718967716612709","2,985795720407087","3,1239397023896","2,63297984005742","8,425161832287387","2,4015492254659994","1,2553792875149572","2,6886824112959085","12,726622746540016","8,43283597950309","15,764655193048815","4,211414625843345","3,225330645557789","2,967406988425632","-0,22412970910824503","3,5637372117403183","4,379254858274528","2,0638786563023226","4,869005220276135","5,097473071153195","2,48307561639729","1,9185954728766317","5,9061704449024255","2,4708670449106247","7,542924228342218","2,0466730914323152","2,541482368466075","3,2637060135751774","4,172821270310179","2,4484159473655893","6,371013667425984","2,7147823715303865","5,204794261985679","7,420140285175022","3,328046785944405","4,010070585382093","2,49603513480543","3,9983415089857135","2,7730546109221876","2,2084235173216853","0,24985585239283292","3,0154613162106667"
1998Q1,"105,04","105,85249999999999","0,026050501623612554","106,06","106,2325","0,010751409338503048","111,21","110,59","0,0644144469308694","101,42","99,68499999999999","0,012338783385802632","115,78","112,9375","0,13636363636363646","127,52","123,12","0,10699514475813698","104,52","105,12","0,023239967877740852","100,16","104,1875","-0,021759541805548954","103,69","105,17250000000001","0,03219078931226549","111,11","109,1375","0,06426290255735156","97,78","101,58500000000001","0,00886361943540992","111,03","109,9625","0,0501623531658868","112,25","111,53","0,08252650991240196","105,19","105,2225","0,02373944980906284","104,32","105,72999999999999","0,02600679281901974","110,64","112,53","0,06057821446243006","112,97","112,68249999999999","0,051559620185241295","102,59","103,69999999999999","0,0239952601955169","106,48","105,775","0,028939688715953427","102,19","103,0125","0,028171474199021995","105,9","104,665","0,0007170857634573036",True,"0,02973047613753363","0,02629199460510948","0,023972017381773153","0,026737026101693546","0,08371936567057967","0,04210192309026611","0,029542049447439163","0,03564918368913108","0,020502444488932674","0,05069374701347307","0,01895745599513461","0,024736343397423248","0,020397407392642813","0,03249155095678031","0,024375650021563566","0,026985513051941936","0,07383538866722776","0,03996770031094353","0,03980107417339911","0,022148240563268726","0,029895878797896795",1T1998,1998-01-01,"2,6050501623612554","2,973047613753363","1,0751409338503048","2,629199460510948","6,44144469308694","2,397201738177315","1,2338783385802632","2,6737026101693546","13,636363636363647","8,371936567057967","10,699514475813698","4,210192309026612","2,3239967877740852","2,9542049447439163","-2,1759541805548954","3,564918368913108","3,219078931226549","2,050244448893267","6,426290255735156","5,069374701347307","0,886361943540992","1,895745599513461","5,01623531658868","2,4736343397423246","8,252650991240195","2,0397407392642815","2,373944980906284","3,249155095678031","2,600679281901974","2,4375650021563566","6,057821446243006","2,6985513051941936","5,1559620185241295","7,383538866722776","2,39952601955169","3,996770031094353","2,8939688715953427","3,9801074173399114","2,8171474199021995","2,2148240563268726","0,07170857634573036","2,9895878797896795"
1998Q2,"106,84","106,3275","0,01992805755395688","105,73","105,9325","-0,006354938561110579","111,62","111,195","0,043888471648516614","102,1","100,23","0,020022897850146215","118,89","114,595","0,10958340393599753","120,65","122,3825","0,04475414034488634","106,44","105,6925","0,020222495716595512","112,71","107,27000000000001","-0,0016984248854142736","105,02","105,3075","0,01559938277558115","113,04","110,815","0,0739188370684436","99,34","100,6725","-0,021552143065409646","110,65","110,87","0,04693106704438166","113,65","112,82","0,07704057279236265","106,35","105,69","0,022765211080198355","106,05","105,955","0,016281802268421908","114,83","113,235","0,04820531809030104","112,11","112,965","0,03926033257434636","102,27","103,3975","0,01804263279673113","107,46","106,5825","0,03312654485532884","104,15","103,535","0,027591682794898542","106,93","105,47250000000001","0,010321375544805722",True,"0,02960299507099639","0,026254190809644754","0,023928542508886316","0,02658722809042801","0,08311037154612842","0,042089699922098774","0,02941002901062201","0,03566099526085897","0,020366102414842123","0,05041276331541417","0,018728957261502904","0,024764016345740245","0,020328083870962473","0,03234604177780885","0,024267140569471234","0,02682320238858001","0,0734693744827053","0,03983469476806613","0,03961873325694109","0,022212245953320598","0,02963714443368692",2T1998,1998-04-01,"1,992805755395688","2,9602995070996387","-0,6354938561110579","2,6254190809644755","4,388847164851661","2,3928542508886315","2,0022897850146215","2,658722809042801","10,958340393599752","8,311037154612842","4,475414034488634","4,2089699922098776","2,022249571659551","2,941002901062201","-0,16984248854142736","3,5660995260858965","1,559938277558115","2,036610241484212","7,39188370684436","5,041276331541417","-2,1552143065409646","1,8728957261502903","4,693106704438166","2,4764016345740245","7,704057279236265","2,0328083870962472","2,2765211080198355","3,234604177780885","1,6281802268421908","2,4267140569471235","4,820531809030104","2,6823202388580007","3,9260332574346357","7,34693744827053","1,8042632796731128","3,983469476806613","3,3126544855328843","3,9618733256941088","2,759168279489854","2,22122459533206","1,0321375544805722","2,963714443368692"
